CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
122,,,,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Combined Statistical Area,6930402,6945576,6996017,7088898,15174,50441,92881
122,12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,215417,215699,218235,220405,282,2536,2170
122,12020,,13059,"Clarke County, GA",County or equivalent,128671,128550,129185,129875,-121,635,690
122,12020,,13195,"Madison County, GA",County or equivalent,30123,30269,30883,31473,146,614,590
122,12020,,13219,"Oconee County, GA",County or equivalent,41799,42013,43025,43588,214,1012,563
122,12020,,13221,"Oglethorpe County, GA",County or equivalent,14824,14867,15142,15469,43,275,327
122,12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,6089755,6103261,6143138,6222106,13506,39877,78968
122,12060,,13013,"Barrow County, GA",County or equivalent,83507,83975,86672,89299,468,2697,2627
122,12060,,13015,"Bartow County, GA",County or equivalent,108888,109296,110901,112816,408,1605,1915
122,12060,,13035,"Butts County, GA",County or equivalent,25440,25551,26114,26649,111,563,535
122,12060,,13045,"Carroll County, GA",County or equivalent,119141,119484,121592,124592,343,2108,3000
122,12060,,13057,"Cherokee County, GA",County or equivalent,266625,268175,274839,281278,1550,6664,6439
122,12060,,13063,"Clayton County, GA",County or equivalent,297608,297623,297318,296564,15,-305,-754
122,12060,,13067,"Cobb County, GA",County or equivalent,766160,766374,766691,771952,214,317,5261
122,12060,,13077,"Coweta County, GA",County or equivalent,146154,146725,149925,152882,571,3200,2957
122,12060,,13085,"Dawson County, GA",County or equivalent,26796,27056,28475,30138,260,1419,1663
122,12060,,13089,"DeKalb County, GA",County or equivalent,764386,764420,759231,762820,34,-5189,3589
122,12060,,13097,"Douglas County, GA",County or equivalent,144227,144552,145628,147316,325,1076,1688
122,12060,,13113,"Fayette County, GA",County or equivalent,119186,119483,120681,122030,297,1198,1349
122,12060,,13117,"Forsyth County, GA",County or equivalent,251283,252878,260721,267237,1595,7843,6516
122,12060,,13121,"Fulton County, GA",County or equivalent,1066702,1069370,1062531,1074634,2668,-6839,12103
122,12060,,13135,"Gwinnett County, GA",County or equivalent,957027,958005,965145,975353,978,7140,10208
122,12060,,13143,"Haralson County, GA",County or equivalent,29920,30037,30579,31337,117,542,758
122,12060,,13149,"Heard County, GA",County or equivalent,11414,11448,11529,11725,34,81,196
122,12060,,13151,"Henry County, GA",County or equivalent,240719,241848,245023,248364,1129,3175,3341
122,12060,,13159,"Jasper County, GA",County or equivalent,14595,14666,15259,15951,71,593,692
122,12060,,13171,"Lamar County, GA",County or equivalent,18500,18551,18684,19467,51,133,783
122,12060,,13199,"Meriwether County, GA",County or equivalent,20610,20606,20715,20845,-4,109,130
122,12060,,13211,"Morgan County, GA",County or equivalent,20096,20198,20654,21031,102,456,377
122,12060,,13217,"Newton County, GA",County or equivalent,112491,112843,115318,117621,352,2475,2303
122,12060,,13223,"Paulding County, GA",County or equivalent,168660,169570,173921,178421,910,4351,4500
122,12060,,13227,"Pickens County, GA",County or equivalent,33215,33339,33990,34826,124,651,836
122,12060,,13231,"Pike County, GA",County or equivalent,18881,18936,19534,19990,55,598,456
122,12060,,13247,"Rockdale County, GA",County or equivalent,93554,93644,93961,94984,90,317,1023
122,12060,,13255,"Spalding County, GA",County or equivalent,67301,67455,67699,68919,154,244,1220
122,12060,,13297,"Walton County, GA",County or equivalent,96669,97153,99808,103065,484,2655,3257
122,16340,,,"Cedartown, GA",Micropolitan Statistical Area,42854,42923,43332,43709,69,409,377
122,16340,,13233,"Polk County, GA",County or equivalent,42854,42923,43332,43709,69,409,377
122,18460,,,"Cornelia, GA",Micropolitan Statistical Area,46033,46138,46740,47475,105,602,735
122,18460,,13137,"Habersham County, GA",County or equivalent,46033,46138,46740,47475,105,602,735
122,23580,,,"Gainesville, GA",Metropolitan Statistical Area,203166,203735,207393,212692,569,3658,5299
122,23580,,13139,"Hall County, GA",County or equivalent,203166,203735,207393,212692,569,3658,5299
122,27600,,,"Jefferson, GA",Micropolitan Statistical Area,75904,76717,80317,83936,813,3600,3619
122,27600,,13157,"Jackson County, GA",County or equivalent,75904,76717,80317,83936,813,3600,3619
122,29300,,,"LaGrange, GA-AL",Micropolitan Statistical Area,104201,103968,103925,104279,-233,-43,354
122,29300,,1017,"Chambers County, AL",County or equivalent,34774,34645,34446,34088,-129,-199,-358
122,29300,,13285,"Troup County, GA",County or equivalent,69427,69323,69479,70191,-104,156,712
122,40660,,,"Rome, GA",Metropolitan Statistical Area,98586,98575,98499,99443,-11,-76,944
122,40660,,13115,"Floyd County, GA",County or equivalent,98586,98575,98499,99443,-11,-76,944
122,45580,,,"Thomaston, GA",Micropolitan Statistical Area,27699,27740,27673,28086,41,-67,413
122,45580,,13293,"Upson County, GA",County or equivalent,27699,27740,27673,28086,41,-67,413
122,45740,,,"Toccoa, GA",Micropolitan Statistical Area,26787,26820,26765,26767,33,-55,2
122,45740,,13257,"Stephens County, GA",County or equivalent,26787,26820,26765,26767,33,-55,2
140,,,,"Bend-Prineville, OR",Combined Statistical Area,222991,224377,231111,232924,1386,6734,1813
140,13460,,,"Bend, OR",Metropolitan Statistical Area,198256,199454,205358,206549,1198,5904,1191
140,13460,,41017,"Deschutes County, OR",County or equivalent,198256,199454,205358,206549,1198,5904,1191
140,39260,,,"Prineville, OR",Micropolitan Statistical Area,24735,24923,25753,26375,188,830,622
140,39260,,41013,"Crook County, OR",County or equivalent,24735,24923,25753,26375,188,830,622
142,,,,"Birmingham-Hoover-Talladega, AL",Combined Statistical Area,1350650,1351235,1351772,1352565,585,537,793
142,13820,,,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1115299,1116544,1117042,1116857,1245,498,-185
142,13820,,1007,"Bibb County, AL",County or equivalent,22300,22183,22370,22005,-117,187,-365
142,13820,,1009,"Blount County, AL",County or equivalent,59130,59102,59085,59512,-28,-17,427
142,13820,,1021,"Chilton County, AL",County or equivalent,45009,45051,45259,45884,42,208,625
142,13820,,1073,"Jefferson County, AL",County or equivalent,674355,674675,669997,665409,320,-4678,-4588
142,13820,,1115,"St. Clair County, AL",County or equivalent,91471,91652,92903,93932,181,1251,1029
142,13820,,1117,"Shelby County, AL",County or equivalent,223034,223881,227428,230115,847,3547,2687
142,18980,,,"Cullman, AL",Micropolitan Statistical Area,87857,88131,89618,90665,274,1487,1047
142,18980,,1043,"Cullman County, AL",County or equivalent,87857,88131,89618,90665,274,1487,1047
142,27530,,,"Jasper, AL",Micropolitan Statistical Area,65342,65132,64629,64339,-210,-503,-290
142,27530,,1127,"Walker County, AL",County or equivalent,65342,65132,64629,64339,-210,-503,-290
142,45180,,,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,82152,81428,80483,80704,-724,-945,221
142,45180,,1121,"Talladega County, AL",County or equivalent,82152,81428,80483,80704,-724,-945,221
144,,,,"Bloomington-Bedford, IN",Combined Statistical Area,206058,205897,206612,206449,-161,715,-163
144,13260,,,"Bedford, IN",Micropolitan Statistical Area,45015,45012,45045,45222,-3,33,177
144,13260,,18093,"Lawrence County, IN",County or equivalent,45015,45012,45045,45222,-3,33,177
144,14020,,,"Bloomington, IN",Metropolitan Statistical Area,161043,160885,161567,161227,-158,682,-340
144,14020,,18105,"Monroe County, IN",County or equivalent,139717,139571,140135,139745,-146,564,-390
144,14020,,18119,"Owen County, IN",County or equivalent,21326,21314,21432,21482,-12,118,50
145,,,,"Bloomington-Pontiac, IL",Combined Statistical Area,206791,206733,206931,206662,-58,198,-269
145,14010,,,"Bloomington, IL",Metropolitan Statistical Area,170975,170954,171190,171141,-21,236,-49
